PANTONENAME,UNIQUECODE,RED,GREEN,BLUE
PANTONE 2030 C,10540,62,38,20
PANTONE 2031 C,10541,58,43,23
PANTONE 2032 C,10542,54,47,26
PANTONE 2033 C,10543,49,51,30
PANTONE 2034 C,10544,53,64,41
PANTONE 2035 C,10545,46,70,51
PANTONE 2036 C,10546,83,24,-4
PANTONE 2037 C,10547,73,40,-11
PANTONE 2038 C,10548,61,60,-7
PANTONE 2039 C,10549,54,69,-2
PANTONE 204 C,10550,66,43,-3
PANTONE 2040 C,10551,48,72,16
PANTONE 2041 C,10552,37,53,6
PANTONE 2042 C,10553,28,33,3
PANTONE 2043 C,10554,83,15,-2
PANTONE 2044 C,10555,70,35,-5
PANTONE 2045 C,10556,62,45,-5
PANTONE 2046 C,10557,54,51,-4
PANTONE 2047 C,10558,44,44,-4
PANTONE 2048 C,10559,39,42,-4
PANTONE 2049 C,10560,33,40,1
PANTONE 205 C,10561,54,62,5
PANTONE 2050 C,10562,88,10,-5
PANTONE 2051 C,10563,81,11,-4
PANTONE 2052 C,10564,70,17,-6
PANTONE 2053 C,10565,59,23,-8
PANTONE 2054 C,10566,53,21,-7
PANTONE 2055 C,10567,46,24,-7
PANTONE 2056 C,10568,38,26,-7
PANTONE 2057 C,10569,68,27,-10
PANTONE 2058 C,10570,62,25,-13
PANTONE 2059 C,10571,59,28,-11
PANTONE 206 C,10572,44,69,32
PANTONE 2060 C,10573,58,43,-16
PANTONE 2061 C,10574,48,42,-13
PANTONE 2062 C,10575,47,51,-17
PANTONE 2063 C,10576,41,53,-16
PANTONE 2064 C,10577,74,29,-17
PANTONE 2065 C,10578,75,26,-19
PANTONE 2066 C,10579,68,34,-25
PANTONE 2067 C,10580,57,44,-32
PANTONE 2068 C,10581,50,50,-37
PANTONE 2069 C,10582,44,54,-39
PANTONE 207 C,10583,35,59,22
PANTONE 2070 C,10584,35,57,-41
PANTONE 2071 C,10585,76,13,-19
PANTONE 2072 C,10586,67,21,-27
PANTONE 2073 C,10587,66,19,-29
PANTONE 2074 C,10588,52,30,-39
PANTONE 2075 C,10589,50,28,-41
PANTONE 2076 C,10590,46,32,-43
PANTONE 2077 C,10591,36,35,-48
PANTONE 2078 C,10592,68,12,-12
PANTONE 2079 C,10593,56,17,-17
PANTONE 208 C,10594,31,45,6
PANTONE 2080 C,10595,54,22,-24
PANTONE 2081 C,10596,46,25,-27
PANTONE 2082 C,10597,40,28,-31
PANTONE 2083 C,10598,50,37,-47
PANTONE 2084 C,10599,38,48,-54
PANTONE 2085 C,10600,84,9,-11
PANTONE 2086 C,10601,62,18,-31
PANTONE 2087 C,10602,58,26,-42
PANTONE 2088 C,10603,47,33,-51
PANTONE 2089 C,10604,40,37,-56
PANTONE 209 C,10605,28,34,3
PANTONE 2090 C,10606,35,41,-60
PANTONE 2091 C,10607,24,48,-66
PANTONE 2092 C,10608,72,10,-21
PANTONE 2093 C,10609,66,11,-20
PANTONE 2094 C,10610,56,12,-23
PANTONE 2095 C,10611,47,21,-39
PANTONE 2096 C,10612,39,25,-44
PANTONE 2097 C,10613,38,36,-60
PANTONE 2098 C,10614,27,43,-67
PANTONE 2099 C,10615,69,11,-18
PANTONE 210 C,10616,76,37,-7
PANTONE 2100 C,10617,63,15,-28
PANTONE 2101 C,10618,54,24,-45
PANTONE 2102 C,10619,42,22,-46
PANTONE 2103 C,10620,37,25,-50
PANTONE 2104 C,10621,30,29,-53
PANTONE 2105 C,10622,21,31,-50
PANTONE 2106 C,10623,74,1,-13
PANTONE 2107 C,10624,63,2,-19
PANTONE 2108 C,10625,54,4,-23
PANTONE 2109 C,10626,47,5,-25
PANTONE 211 C,10627,68,50,-8
PANTONE 2110 C,10628,42,6,-26
PANTONE 2111 C,10629,34,6,-29
PANTONE 2112 C,10630,18,25,-40
PANTONE 2113 C,10631,72,5,-28
PANTONE 2114 C,10632,59,6,-32
PANTONE 2115 C,10633,52,9,-37
PANTONE 2116 C,10634,46,11,-41
PANTONE 2117 C,10635,34,17,-47
PANTONE 2118 C,10636,25,16,-40
PANTONE 2119 C,10637,21,12,-33
PANTONE 212 C,10638,59,66,-5
PANTONE 2120 C,10639,81,0,-17
PANTONE 2121 C,10640,69,-3,-27
PANTONE 2122 C,10641,71,3,-30
PANTONE 2123 C,10642,61,5,-41
PANTONE 2124 C,10643,54,13,-48
PANTONE 2125 C,10644,44,18,-57
PANTONE 2126 C,10645,30,29,-67
PANTONE 2127 C,10646,80,-2,-14
PANTONE 2128 C,10647,73,-2,-28
PANTONE 2129 C,10648,58,1,-46
PANTONE 213 C,10649,51,74,2
PANTONE 2130 C,10650,51,9,-52
PANTONE 2131 C,10651,40,14,-58
